id	titre	société	portail	tjm	remote	durée	score	statut	date_eval	date_maj	action	source	url
100	Développeur C# Blazor (F/H)	ALSTOM	indeed	? (CDI)	? (Crespin 59, Hauts-de-France)	CDI	C	évalué-C (indicatif, CDI)	2026-08-02	2026-08-02	Ne pas candidater au CDI — stack C#/Blazor excellent et Hauts-de-France : envisager une prospection freelance directe auprès d'ALSTOM	issu email Gmail	
101	Développeur .Net sénior - 10 ans	Suricate IT (intermédiaire)	collective	?	?	?	C	évalué-C (données limitées, cf. #053)	2026-08-02	2026-08-02	Postuler si pipeline vide — bon historique Suricate IT (#053 noté B), obtenir TJM/remote/durée ; vérifier doublon possible avec #098 (Free-Work)	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-senior-10-ans-ewuy
102	Tech Lead React / Next - Redux 10 ans mini	Suricate IT (intermédiaire)	collective	?	?	?	D	évalué-D	2026-08-02	2026-08-02	Passer — stack React/Next hors profil, aucun signal C#/.NET	issu email Gmail	https://www.collective.work/jobs/fr/tech-lead-react-next-redux-10-ans-mini-serl
103	Développeur Senior .NET / Angular	Nigel Frank (intermédiaire)	collective	?	? (Paris)	?	C	évalué-C (données limitées, cf. #039)	2026-08-02	2026-08-02	Postuler si pipeline vide — TJM/durée à négocier	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-net-angular-iohg
104	Développeur Senior C# / .NET 10	Orviden (intermédiaire)	collective	?	?	?	C	évalué-C (données limitées)	2026-08-02	2026-08-02	Postuler si pipeline vide — excellent signal stack (.NET 10), obtenir TJM/remote/durée	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-c-net-10-kxkz
106	Ingénieur Sénior Azure (spécialiste Observabilité Azure et CRM)	?	free-work	500-590	? (La Défense 92)	3 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — TJM sous seuil + rôle Azure/observabilité, pas de développement C#/.NET	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/administrateur-applicatif-erp-crm-sirh/ingenieur-senior-azure-specialiste-observabilite-azure-et-crm
107	Développeur(se) Back .NET - Expert (>10 ans)	?	free-work	500-580	? (Île-de-France)	3 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — bon profil mais TJM sous seuil et mission courte (3 mois)	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-se-back-net-expert-10-ans-1
108	Dev .Net sénior banque/finance sénior (8 ans et +)	?	free-work	500-600	? (Paris)	36 mois	C	évalué-C (possible doublon canal différent, cf. #110)	2026-08-02	2026-08-02	Négocier avant — TJM en limite basse ; vérifier si même mission que #110 (Suricate IT, Collective) avant de postuler sur ce canal	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/consultant/dev-net-senior-banque-finance-senior-8ans-et
109	Développeur - Sénior .NET	BPCE Solutions Informatiques	indeed	? (CDI)	? (Villeneuve-d'Ascq 59, Hauts-de-France)	CDI	C	évalué-C (indicatif, CDI)	2026-08-02	2026-08-16	Ne pas candidater, ne pas prospecter — BPCE = groupe Natixis (mission en cours), conflit direct	issu email Gmail
110	Dev .Net sénior banque/finance	Suricate IT (intermédiaire, client banque d'affaires probable)	collective	?	?	?	C	évalué-C (données limitées, cf. #053)	2026-08-02	2026-08-02	Postuler si pipeline vide — secteur critique + bon historique Suricate IT, obtenir TJM ; vérifier doublon possible avec #108 (Free-Work)	issu email Gmail	https://www.collective.work/jobs/fr/dev-net-senior-banquefinance-obyy
111	Développeur Web expérimenté	Divotiz	indeed	? (CDI)	? (Roubaix 59)	CDI	F	évalué-F	2026-08-02	2026-08-02	Passer — stack non identifiée (probable non-.NET), CDI	issu email Gmail	
113	Développeur C# .Net Core (TDD-BDD)	Digistrat Consulting	free-work	500-600	Hybride 2-3j (Paris)	3 ans	B	évalué-B	2026-08-15	2026-08-15	Postuler en visant 600€/j, mettre en avant TDD/BDD	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-c-net-core-tdd-bdd-14
114	C# Developer Back End	Digistrat Consulting	free-work	500-620	Hybride 2-3j (Paris)	3 ans renouvelable	B	évalué-B	2026-08-15	2026-08-15	Postuler en priorité — mettre en avant Clean Code/Software Craftsmanship	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/c-developer-back-end-14
115	Développeur Full stack REACT/C# (orienté front React)	Digistrat Consulting	free-work	450-600	Hybride 2-3j (Paris)	3 ans	C	évalué-C	2026-08-15	2026-08-15	Ne pas prioriser — préférer #114 chez le même client	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/developpeur-full-stack-react-c-oriente-front-react-14
116	Architecte applicatif E-commerce .NET & Cloud Azure	PROPULSE IT	collective	?	Hybride (Paris)	Ambiguë — à clarifier	C	évalué-C	2026-08-15	2026-08-15	Postuler en demandant clarification TJM (viser 750-850€/j) + durée réelle	issu email Gmail	https://www.collective.work/jobs/fr/architecte-applicatif-e-commerce-net-and-cloud-azure-zmu6
117	Tech Lead Fonctionnel .Net - Trading Fixed Income - Front Office	Nexoris	hellowork	650	Non précisé (Paris)	Non précisée	C	évalué-C	2026-08-15	2026-08-15	Clarifier ratio remote/site avant de postuler	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/82197760.html
118	Développeur C# / .NET Expérimenté (H/F)	INFOTEL CONSEIL	free-work	400-550	2j/semaine (Orléans)	Non précisée	C	évalué-C	2026-08-15	2026-08-15	Passer — TJM sous le seuil absolu de 600€/j (deal breaker)	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-c-net-experimente-h-f
119	Consultant Senior DevSecOps / Application Security	Anderson RH	collective	?	Hybride 2j remote/3j site (Paris)	Non précisée	C	évalué-C	2026-08-15	2026-08-15	Clarifier TJM + ratio site avant tout envoi de CV	issu email Gmail	https://www.collective.work/jobs/fr/consultant-senior-devsecops-application-security-rfym
120	Ingénieur Consultant Devops confirmé Expert Gitlab-CI	Anderson RH	collective	?	Hybride 2j remote/3j site (Paris)	Longue (non chiffrée)	D	évalué-D	2026-08-15	2026-08-15	Passer — hors cœur de compétence (pas de C#/.NET)	issu email Gmail	https://www.collective.work/jobs/fr/ingenieur-consultant-devops-confirme-expert-gitlab-ci-rtrn
121	Cloud Engineer / SRE	Taleo	collective	?	Hybride (?)	Non précisée	D	évalué-D	2026-08-15	2026-08-15	Passer — hors profil, offre expirée	issu email Gmail	https://www.collective.work/jobs/fr/cloud-engineer-sre-dcfz
122	Ingénieur Senior Azure, Spécialiste Observabilité Azure et CRM	?	free-work	550-600	Non précisé (Puteaux 92)	6 mois	C	évalué-C	2026-08-15	2026-08-15	Clarifier si dev .NET réel ou administration Azure pure	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/administrateur-applicatif-erp-crm-sirh/ingenieur-senior-azure-specialiste-observabilite-azure-et-crm-h-f
123	Développeur Symfony Confirmé	Anderson RH	collective	?	Hybride 2j remote/3j site	Non précisée	D	évalué-D	2026-08-15	2026-08-15	Passer — stack PHP/Symfony hors profil	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-symfony-confirme-uen5
124	Tech Lead .NET	Capgemini Sogeti	indeed	? (CDI)	? (Lille 59)	CDI	C	évalué-C (indicatif, CDI)	2026-08-15	2026-08-15	Ne pas candidater au CDI — envisager prospection freelance directe	issu email Gmail
125	Technical Leader FullStack H/F	Open SAS	indeed	? (CDI)	? (Villeneuve-d'Ascq 59)	CDI	D	évalué-D (indicatif, CDI)	2026-08-15	2026-08-15	Passer — 2e signal CDI-only de cette société en 6 semaines	issu email Gmail
126	Tech Lead JS - F/H	Niji	indeed	? (CDI)	? (La Madeleine 59)	CDI	D	évalué-D (indicatif, CDI)	2026-08-15	2026-08-15	Passer — stack JS hors profil C#/.NET	issu email Gmail
127	Développeur Junior FullStack	AZEOO	indeed	? (freelance/CDI)	Télétravail	Temps plein	F	évalué-F	2026-08-15	2026-08-15	Passer — niveau junior hors profil	issu email Gmail
128	Développeur expérimenté backend et frontend C#	E-Volve	collective	?	Hybride	?	?	non-évalué (infos insuffisantes)	2026-08-15	2026-08-15	Offre expirée — ne pas postuler en l'état	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-experimente-backend-et-frontend-c-ojni
129	Tech Lead Infrastructure Datacenter Senior - Freelance H/F	Artemys	hellowork	?	? (Paris 10e)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — infra datacenter pure, hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81354622.html
130	Tech Lead Power Platform Bilingue Anglais H/F	Mantu	hellowork	?	? (Île-de-France)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — low-code Power Platform hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81357090.html
131	Technical Project Leader - Automotive H/F	CELAD	hellowork	500-550	? (Cergy 95)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — TJM deal breaker + rôle PM hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81354469.html
132	Tech lead IA (F/H)	BPCE Solutions Informatiques	indeed	? (CDI)	? (Villeneuve-d'Ascq 59)	CDI	C	évalué-C (indicatif, CDI)	2026-08-16	2026-08-16	Ne pas candidater, ne pas prospecter — BPCE = groupe Natixis (mission en cours), conflit direct	issu email Gmail
133	Développeur Back-End .NET Expert - E-commerce	Anderson RH (intermédiaire)	collective	?	Hybride 3j site (Paris)	Longue (non chiffrée)	C	évalué-C	2026-08-16	2026-08-16	Postuler si pipeline vide — obtenir TJM, négocier ratio remote	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-back-end-net-expert-e-commerce-zbmv
134	Lead Software Engineer HF	Kingfisher	indeed	? (CDI)	? (Templemars 59)	Temps plein	C	évalué-C (indicatif, CDI, données limitées)	2026-08-16	2026-08-16	Ne pas candidater au CDI — bonne géo, envisager prospection freelance	issu email Gmail
135	Développeur Front-End Senior – Optimizely CMS / .NET Core	?	free-work	400-550	? (Paris)	36 mois	F	évalué-F	2026-08-16	2026-08-16	Passer — TJM sous seuil + rôle front-end hors profil	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/developpeur-front-end-senior-optimizely-cms-net-core
136	Ingénieur Azure Senior – Performance & Observabilité (H/F)	?	free-work	730-800	? (Paris)	3 mois	D	évalué-D	2026-08-16	2026-08-16	Passer — rôle Azure infra/observabilité, pas de dev C#/.NET	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-azure-senior-performance-observabilite-h-f
137	Lead Développeur Full Stack — Vue.js / BFF (.NET)	?	free-work	680-700	? (Le Havre)	3 mois	C	évalué-C	2026-08-16	2026-08-16	Postuler si pipeline vide — clarifier remote et répartition .NET/Vue.js	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/lead-developpeur-full-stack-vue-js-bff-net
138	Ingénieur(e) Développements .NET FULL STACK	PROPULSE IT (intermédiaire)	collective	?	Hybride 2j site (Paris)	3 mois renouvelable	C	évalué-C	2026-08-16	2026-08-16	Postuler si pipeline vide — bon stack/remote, négocier TJM ≥600-650	issu email Gmail	https://www.collective.work/jobs/fr/ingenieure-developpements-net-full-stack-xgle
139	Solutions Architect .NET	Dirk Van Meir	collective	?	Hybride (Bruxelles)	2-4 semaines	D	évalué-D	2026-08-16	2026-08-16	Passer — mission trop courte, langue NL requise, Blazor non maîtrisé	issu email Gmail	https://www.collective.work/jobs/en/solutions-architect-net-bffh
140	Ingénieur de production senior - DevOps	Ecocea	collective	?	Site/Hybride (Nanterre 92)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — stack Python/DevOps pur, hors profil	issu email Gmail	https://www.collective.work/jobs/fr/ingenieur-de-production-senior-devops-ahj3
141	Développeur .net/Angular	FICHORGA	indeed	? (CDI)	? (Lille 59)	CDI	C	évalué-C (indicatif, CDI)	2026-08-16	2026-08-16	Ne pas candidater au CDI — bon stack + Lille, envisager prospection freelance	issu email Gmail
142	Tech Lead Mulesoft H/F	Silkhom	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — stack Mulesoft (Java) hors profil	issu email Gmail (reçu 2x : 08-03 et 08-05)
143	Tech Lead Data Scientist - IA H/F	Collective Works	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — rôle Data Science hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/82027542.html
144	Tech Lead Data Scientist & Pilote du Socle Data Science H/F	Collective Works	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — rôle Data Science hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/82027574.html
145	Tech Lead DevOps Plateforme Data & IA H/F	Collective Works	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — rôle DevOps/Data Platform hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81913654.html
146	Tech Lead Data Engineer - Python - Gcp - Bigquery H/F	Collective Works	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — stack Python/GCP hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81944166.html
147	Tech Lead - Lille H/F	Collective Works	hellowork	?	? (Lille 59)	?	C	clos (annonce expirée)	2026-08-16	2026-08-21	Aucune action : annonce retirée. Annonceur réel = LittleBig Connection (Mantu), pas Collective Works.	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81941682.html
148	Tech Lead DBA H/F	Collective Works	hellowork	?	? (Paris 75)	?	F	évalué-F	2026-08-16	2026-08-16	Passer — rôle DBA hors profil dev/architecte	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81965429.html
149	Développeur Full Stack IA H/F Freelance Niort (79)	Wekey (intermédiaire)	collective	700	Hybride (Niort 79)	12 mois renouvelable	D	évalué-D	2026-08-16	2026-08-16	Passer — stack Java (pas de C#/.NET) malgré bon TJM	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-full-stack-ia-hf-freelance-niort-79-sxtt
150	Développeur Fullstack .Net / Angular	Visian	collective	?	Hybride/site (Paris)	2-4 semaines	C	évalué-C	2026-08-16	2026-08-16	Postuler si pipeline vide — bon stack, mission courte à clarifier	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-fullstack-net-angular-y7mi
151	Tech lead C# .NET Services Financiers Lille	Sopra Steria	indeed	? (CDI)	? (Villeneuve-d'Ascq 59)	CDI	D	évalué-D (indicatif, CDI)	2026-08-16	2026-08-16	Ne pas candidater au CDI — excellent stack+géo, 2e/3e signal Sopra Steria CDI	issu email Gmail
152	Prospection directe — poste C#/Blazor repéré	Alstom	linkedin	?	? (Crespin 59, Hauts-de-France)	?	—	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence	Contact : Oussama Yennoune (Software Engineer chez Alstom) — approche peer suite à offre C#/Blazor repérée via signal CDI (#100 ALSTOM)
153	Prospection directe — outillage digital ingénierie	Alstom	linkedin	?	? (Saint-Ouen 93, hybride)	?	—	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence	Contact : Benjamin Martin (Train System Process and Tools Manager chez Alstom) — approche décideur digital/outillage, lien avec offre C#/Blazor (#100 ALSTOM)
154	Prospection directe — poste Lead Software Engineer repéré	Kingfisher	linkedin	?	? (Templemars 59)	?	—	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence	Contact : Liès T. (Software Engineer @ Kingfisher, ex Decathlon Digital) — approche peer suite à offre Lead Software Engineer repérée via signal CDI (#134 Kingfisher)
155	Prospection directe — poste .NET/Angular repéré	FICHORGA	linkedin	?	? (Lille/Templemars 59)	?	—	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence	Contact : Robin Huree (DSI Fichorga) — approche décideur direct suite à offre .NET/Angular repérée via signal CDI (#141 FICHORGA)
156	Prospection directe — poste .NET/Angular repéré (bonus)	FICHORGA	linkedin	?	? (Lille/Templemars 59)	?	—	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence — faible attente (profil peu actif)	Contact : Jérémie Bernard (Spécialiste logiciels chez FICHORGA) — envoi bonus, profil LinkedIn quasi vide
157	Prospection directe — poste Développeur C# sénior repéré	SAS Conex	indeed	? (CDI)	<10km domicile	CDI	C	prospection envoyée	2026-08-16	2026-08-16	Relancer J+7 (2026-08-23) si silence	Contact : Jean-François T. (UX/UI Designer Senior chez Conex) — approche peer/pont vers équipe dev, offre #065 expirée mais besoin probable toujours actif	https://fr.indeed.com/viewjob?jk=fee8fcbde256c395
158	Prospection directe (contact chaud) — Tech Lead C#/.NET Services Financiers	Sopra Steria	indeed	? (CDI)	? (Villeneuve-d'Ascq 59)	CDI	D	prospection envoyée — relais en cours	2026-08-16	2026-08-19	Lisa a répondu par LinkedIn (2026-08-19) : elle est sur le périmètre Infra/Cloud/DevOps (arrivée sept 2025), pas l'applicatif. Elle conseille de contacter directement Valéry Envain (Directeur Agence Adjoint, Vertical Services Financiers, Sopra Steria Lille — 2e degré, 7 relations en commun), qui recrute activement "Tech Lead C# .NET Services Financiers Lille" (cf. signal #151). Prochaine étape : envoyer une demande de connexion/message à Valéry en mentionnant Lisa.	Contact : Lisa Esther (Directrice Business Operations Nord DPS chez Sopra Steria, 1er degré, ex-collègue OPEN 2015-2017) — meilleur signal de la campagne, relation existante
159	Technical Lead Backend	Actiris (client final, via Sansaone/Akesh Raj)	linkedin	750 (plancher confirmé ailleurs)	Hybride 2j site/3j remote (Bruxelles, Belgique)	5 mois	C	décliné — même mission déjà en négo via un autre canal	2026-08-17	2026-08-18	Akesh a confirmé l'arrangement hybride mais jamais le TJM par écrit. Mission identifiée comme identique à celle proposée par prounity/Anusha Pasupuleti (canal retenu, TJM 750€/j confirmé) et par Ntek/Srilakshmi (3e canal, aussi décliné). Décliné poliment pour éviter le doublon de candidature vu par Actiris, porte ouverte future opportunité	issu message LinkedIn (Akesh Raj, sansaone.com)
160	Développeur Senior .NET / C# – Finance	Anderson RH (intermédiaire)	collective	? (selon profil)	Hybride 3j site/2j remote (Paris)	12 mois	C	évalué-C	2026-08-18	2026-08-18	Passer — pipeline non vide, repositionner si vide	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-net-c-finance-n5xi
161	Senior Backend Engineer C#/.NET/Azure - Tribe Client	Ducas Consulting (intermédiaire, contact Emeric Ascione) — client final Edenred	email	650 proposé par Emeric (vs 750 espéré) — marge Ducas ~100€, TJM "susceptible d'augmenter" selon Emeric	Hybride 3j remote/2j site (Issy-les-Moulineaux 92, accès RER) — ratio confirmé	Plusieurs années (>3 ans, précédent confirmé sur d'autres consultants)	B	négociation	2026-08-18	2026-08-19	Entretien qualif positif — Emeric transmet à Edenred pour la suite. TJM proposé 650€/j (sous cible 700, ESN intermédiaire → viser +10%). Démarrage possible fin novembre — coïncide avec fin de période Natixis actuelle (20 nov 2026, cf. rappel projet). Point de bascule à trancher avant que Natixis ne propose son renouvellement (typiquement 2-3 sem avant, donc fin oct/début nov). Prochaine étape probable : entretien technique Edenred (observabilité, CQRS, architecture microservices). Préparer contre-argumentaire TJM avant retour d'Edenred.	issu email direct freelance@nicolas-cousin.com	
162	Prospection directe (via Lisa Esther) — Tech Lead C#/.NET Services Financiers Lille	Sopra Steria (contact : Valéry Envain, Directeur Agence Adjoint Vertical Services Financiers)	linkedin	? (CDI affiché, à requalifier freelance)	? (Lille 59)	CDI	C	prospection envoyée	2026-08-19	2026-08-19	Demande de connexion envoyée avec note mentionnant Lisa Esther. Décideur direct, recrute activement pour ce poste précis, 7 relations en commun. Relancer J+7 (2026-08-26) si pas de réponse.	issu prospection directe (redirigée par Lisa Esther, cf. #158)	
163	Tech Lead GenAI - RAG & LLMOps	Ever T (conseil IA-native)	hellowork	? (selon profil)	Hybride (Paris 75)	?	D	évalué-D	2026-08-21	2026-08-21	Passer : stack Python/GCP/LangChain, aucun .NET. Angle IA de Nicolas = .NET + Semantic Kernel, à porter en prospection directe.	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/82509337.html
164	Consultant .NET / Angular Confirmé - Finance & Back-Office (H/F)	? (via Free-Work)	free-work	400-550	? (Île-de-France)	36 mois	D	évalué-D	2026-08-21	2026-08-21	Passer : TJM sous le plancher de 600 même en haut de fourchette, positionnement confirmé (40-45k en CDI).	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/consultant/consultant-net-angular-confirme-finance-back-office-h-f
165	Développeur Senior - IT Credit Risk	? (via Free-Work)	free-work	400-550	? (Île-de-France)	36 mois	D	évalué-D (limite F)	2026-08-21	2026-08-21	Passer : classée Cobol/Perl/VBA/Ruby/Shell, hors stack, + TJM sous plancher. Resserrer l'alerte Free-Work .NetCore.	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-autre-langage-cobol-perl-vba-ruby-shell/developpeur-senior-it-credit-risk
166	Plateform Engineer	WebexpR	indeed	? (CDI)	Télétravail	CDI	F	évalué-F (indicatif, CDI)	2026-08-21	2026-08-21	Passer : CDI + rôle plateforme/infra hors stack .NET. Pas d'angle de prospection freelance ici.	issu email Gmail	
167	Tech Lead H/F (identité / PingFederate)	WheelOfWork (affiché Collective Works dans le digest)	hellowork	490	2j/semaine sur site (Lille 59)	?	F	évalué-F	2026-08-21	2026-08-21	Passer : PingFederate/IAM impératif, aucun .NET, TJM 490. Bonne géo mais rôle hors profil.	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/82424417.html
